Country or Area,Year,Cost to export,Cost of Import,Reserves,Description,Magnitude
Austria,2014,1215,1150,91,TOTAL RESERVES MINUS GOLD,MILLIONS OF SDRS
Belgium,2014,1400,1240,92,SDR HOLDINGS,MILLIONS OF SDRS
Kiribati,2014,910,870,100,SDR HOLDING IN % OF ALLOCATION,PERCENT PER ANNU
Mauritania,2014,1523,1640,121172,RESERVE TRANCHE POSITION,MILLIONS OF SDRS
Azerbaijan,2014,3450,3460,142638,RESERVE POSITION IN THE FUND,MILLIONS OF SDRS
Bangladesh,2014,1515,1281,142638,RESERVE POSITION IN THE FUND,MILLIONS OF US$
Bahrain,2014,870,810,223612,INTERNATIONAL RESERVES,MILLIONS OF SDRS
Eritrea,2014,2000,1850,3656710,HOLDINGS OF SDRS,MILLIONS OF US$
Comoros,2014,1295,1295,6671210,GOLD IN MILLION OUNCES,MILL.FIN.TROY OZ
Lesotho,2014,2045,1795,31258600,FOREIGN EXCHANGE,MILLIONS OF SDRS
Dominica,2014,1600,990,48137100,CYS.AVAILABLE FOR BORROW:GAB,MILLIONS OF SDRS
Armenia,2014,2175,1885,62937700,AMOUNTS AGREED UNDER GAB,MILLIONS OF SDRS
Nepal,2014,2650,2545,63713700,ALLOCATIONS OF SDRS TO DATE,MILLIONS OF SDRS
Fiji,2014,753,790,67062700,SDR HOLDINGS,MILLIONS OF SDRS
Haiti,2014,1555,1200,68919600,SDR HOLDING IN % OF ALLOCATION,PERCENT PER ANNU
Myanmar,2014,610,620,72267800,RESERVE TRANCHE POSITION,MILLIONS OF SDRS
Antigua and Barbuda,2014,1520,1090,81559700,RESERVE POSITION IN THE FUND,MILLIONS OF US$
Guinea,2014,1480,915,82208400,RESERVE POSITION IN THE FUND,MILLIONS OF SDRS
Grenada,2014,2170,1300,82337100,HOLDINGS OF SDRS,MILLIONS OF US$
Honduras,2014,1630,1450,104778000,ALLOCATIONS OF SDRS TO DATE,MILLIONS OF SDRS
Mozambique,2014,1600,1100,108657000,TOTAL RESERVES MINUS GOLD,MILLIONS OF SDRS
Afghanistan,2014,5680,5045,128467000,SDR HOLDINGS,MILLIONS OF SDRS
Liberia,2014,1320,1320,128491000,SDR HOLDING IN % OF ALLOCATION,PERCENT PER ANNU
Malawi,2014,2895,2200,136214000,RESERVE TRANCHE POSITION,MILLIONS OF SDRS
Maldives,2014,1610,1625,166474000,RESERVE POSITION IN THE FUND,MILLIONS OF US$
Guinea-Bissau,2014,2006,1448,168593000,RESERVE POSITION IN THE FUND,MILLIONS OF SDRS
Djibouti,2014,910,885,241832000,INTERNATIONAL RESERVES,MILLIONS OF SDRS
Ghana,2014,1360,875,290513000,HOLDINGS OF SDRS,MILLIONS OF US$
Burundi,2014,4420,2905,322044000,GOLD IN MILLION OUNCES,MILL.FIN.TROY OZ
Arab World,2014,1420.571429,1270.809524,355224000,FOREIGN EXCHANGE,MILLIONS OF SDRS
Chad,2014,9025,6615,393382000,ALLOCATIONS OF SDRS TO DATE,MILLIONS OF SDRS
Niger,2014,4500,4475,418159000,TOTAL RESERVES MINUS GOLD,MILLIONS OF US$
Cyprus,2014,1010,865,507894000,TOTAL RESERVES MINUS GOLD,MILLIONS OF SDRS
Malta,2014,970,855,532093000,SDR HOLDINGS,MILLIONS OF SDRS
Argentina,2014,2320,1770,556882000,SDR HOLDING IN % OF ALLOCATION,PERCENT PER ANNU
Guyana,2014,720,730,631410000,RESERVE TRANCHE POSITION,MILLIONS OF SDRS
Luxembourg,2014,1420,1425,730515000,RESERVE POSITION IN THE FUND,MILLIONS OF SDRS
Mongolia,2014,2950,2745,825720000,RESERVE POSITION IN THE FUND,MILLIONS OF US$
Kyrgyz Republic,2014,6000,4760,952977000,INTERNATIONAL RESERVES,MILLIONS OF SDRS
Madagascar,2014,1555,1195,1135490000,HOLDINGS OF SDRS,MILLIONS OF US$
Gabon,2014,2275,2145,1271450000,GOLD IN MILLION OUNCES,MILL.FIN.TROY OZ
Burkina Faso,2014,4330,2305,1295840000,GOLD (NATIONAL VALUATION),MILLIONS OF US$
Namibia,2014,1805,1650,1308250000,FOREIGN EXCHANGE,MILLIONS OF SDRS
Moldova,2014,1870,1510,1480270000,FOREIGN EXCHANGE,MILLIONS OF US$
Australia,2014,1220,1200,1518150000,CYS.AVAILABLE FOR BORROW:GAB,MILLIONS OF SDRS
Nigeria,2014,1959.5,1564,1518150000,AMOUNTS AGREED UNDER GAB,MILLIONS OF SDRS
Greece,2014,1135,1040,1554810000,ALLOCATIONS OF SDRS TO DATE,MILLIONS OF SDRS
Nicaragua,2014,1245,1140,1573080000,TOTAL RESERVES MINUS GOLD,MILLIONS OF US$
Mali,2014,4540,2440,1604480000,TOTAL RESERVES MINUS GOLD,MILLIONS OF SDRS
Belarus,2014,2265,1460,1675380000,SDR HOLDINGS,MILLIONS OF SDRS
Ethiopia,2014,2960,2380,1780870000,SDR HOLDING IN % OF ALLOCATION,PERCENT PER ANNU
Cambodia,2014,930,795,1818680000,RESERVE TRANCHE POSITION,MILLIONS OF SDRS
Ireland,2014,1121,1160,1940800000,RESERVE POSITION IN THE FUND,MILLIONS OF US$
Jamaica,2014,2180,1580,2080450000,RESERVE POSITION IN THE FUND,MILLIONS OF SDRS
Georgia,2014,1595,1355,2110320000,INTERNATIONAL RESERVES,MILLIONS OF SDRS
Mauritius,2014,710,675,2178770000,HOLDINGS OF SDRS,MILLIONS OF US$
Albania,2014,730,745,2313910000,GOLD IN MILLION OUNCES,MILL.FIN.TROY OZ
Barbados,2014,1615,810,2379990000,GOLD AC.TO NATIONAL VALUATION,MILLIONS OF US$
Estonia,2014,795,765,2533630000,FOREIGN EXCHANGE,MILLIONS OF US$
El Salvador,2014,1035,1045,2868820000,FOREIGN EXCHANGE,MILLIONS OF SDRS
Ecuador,2014,1520,1535,2873180000,ALLOCATIONS OF SDRS TO DATE,MILLIONS OF SDRS
Dominican Republic,2014,1145,1040,2885120000,SDR HOLDING IN % OF ALLOCATION,PERCENT PER ANNU
Equatorial Guinea,2014,1600,1390,3251940000,RESERVE TRANCHE POSITION,MILLIONS OF SDRS
Cameroon,2014,2267,1379,3675520000,RESERVE POSITION IN THE FUND,MILLIONS OF US$
Iceland,2014,1620,1530,3813240000,HOLDINGS OF SDRS,MILLIONS OF US$
Kenya,2014,2350,2255,3848960000,GOLD AT MARKET PRICES,MILLIONS OF SDRS
Costa Rica,2014,1070,1020,4066170000,GOLD,MILLIONS OF SDRS
Guatemala,2014,1445,1355,4963620000,CYS.AVAILABLE FOR BORROW:GAB,MILLIONS OF SDRS
Lithuania,2014,800,750,6453220000,AMOUNTS AGREED UNDER GAB,MILLIONS OF SDRS
