PROMBEF_n,PROMAFT_n,TRATAMIENTO_N,Af_inver,asisten,EDAD,GENERO,TIPOPOBLACION,CATEGORIA1,ZONAREG,EDADCAT,NUM_NUC,Puntaje
7746.451,19281.8876923077,EDUCACION + INCENTIVO,NO AFECTADO,0,53,FEMENINO,DESPLAZADOS,MEDIO,NORTE,"(45,60]",De 5 a 8,457
24491.878,14491.7830769231,EDUCACION,AFECTADO,6,39,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",Hasta 4,380
12189.591,15193.1346153846,EDUCACION + INCENTIVO,NO AFECTADO,0,60,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(45,60]",Hasta 4,408
14315.209,12982.3946153846,INCENTIVO,AFECTADO,0,32,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(25,33]",Hasta 4,244
51391.396,19692.7661538462,EDUCACION,AFECTADO,1,35,FEMENINO,SISBEN NIVEL1,MEDIO,CENTRO,"(33,45]",De 5 a 8,560
146248.933,84424.5415384615,EDUCACION,AFECTADO,0,42,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",Hasta 4,387
11524.028,4909.75769230769,EDUCACION + INCENTIVO,AFECTADO,6,43,FEMENINO,SISBEN NIVEL1,BAJO,SUR,"(33,45]",Hasta 4,385
22726.43,24012.0530769231,EDUCACION,AFECTADO,0,39,FEMENINO,SISBEN NIVEL1,MEDIO,CENTRO,"(33,45]",Hasta 4,515
26327.956,19235.7730769231,CONTROL,AFECTADO,0,48,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(45,60]",De 9 a 12,295
65974.274,45972.1630769231,INCENTIVO,AFECTADO,0,39,FEMENINO,DESPLAZADOS,ALTO,CENTRO,"(33,45]",Hasta 4,412
16830.106,20210.2330769231,CONTROL,AFECTADO,0,40,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",De 5 a 8,285
18132.306,10420.5684615385,EDUCACION,AFECTADO,2,44,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",De 5 a 8,400
12376.264,10804.6376923077,EDUCACION,AFECTADO,0,33,FEMENINO,DESPLAZADOS,MEDIO,SUR,"(25,33]",Hasta 4,445
12206.317,20453.5653846154,CONTROL,AFECTADO,0,41,FEMENINO,SISBEN NIVEL1,ALTO,NORTE,"(33,45]",De 5 a 8,256
18487.511,6307.12153846154,CONTROL,AFECTADO,0,50,FEMENINO,SISBEN NIVEL1,BAJO,NORTE,"(45,60]",De 5 a 8,268
26323.196,9925.79076923077,INCENTIVO,AFECTADO,0,47,MASCULINO,SISBEN NIVEL1,MEDIO,NORTE,"(45,60]",De 9 a 12,270
24520.428,17669.3061538462,CONTROL,AFECTADO,0,33,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(25,33]",De 5 a 8,295
137618.624,47106.6761538462,CONTROL,AFECTADO,0,50,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(45,60]",De 9 a 12,265
40194.634,47445.8569230769,EDUCACION,AFECTADO,6,48,FEMENINO,SISBEN NIVEL1,ALTO,CENTRO,"(45,60]",De 5 a 8,568
15957.368,13714.1169230769,INCENTIVO,AFECTADO,0,64,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(60,92]",De 5 a 8,308
28766.503,35766.8530769231,CONTROL,AFECTADO,0,33,FEMENINO,DESPLAZADOS,ALTO,CENTRO,"(25,33]",De 5 a 8,449
9943.468,24312.4415384615,INCENTIVO,AFECTADO,0,34,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",Hasta 4,234
9585.507,11172.1376923077,CONTROL,AFECTADO,0,27,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(25,33]",Hasta 4,200
35207.771,30461.1707692308,EDUCACION + INCENTIVO,NO AFECTADO,0,50,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(45,60]",De 5 a 8,434
54462.104,14140.2730769231,CONTROL,AFECTADO,0,45,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",De 5 a 8,289
15424.981,20913.2453846154,EDUCACION + INCENTIVO,NO AFECTADO,5,33,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(25,33]",Hasta 4,399
14944.375,8632.12076923077,INCENTIVO,AFECTADO,0,32,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(25,33]",Hasta 4,200
45525.806,78381.1392307692,EDUCACION,AFECTADO,0,39,FEMENINO,SISBEN NIVEL1,MEDIO,NORTE,"(33,45]",De 9 a 12,438
14599.174,28755.1461538462,EDUCACION,AFECTADO,6,28,FEMENINO,SISBEN NIVEL1,ALTO,SUR,"(25,33]",Hasta 4,420
55432.259,63598.8323076923,CONTROL,AFECTADO,0,35,FEMENINO,SISBEN NIVEL1,ALTO,NORTE,"(33,45]",De 5 a 8,297
5346.711,5414.25230769231,EDUCACION,AFECTADO,6,44,FEMENINO,SISBEN NIVEL1,BAJO,SUR,"(33,45]",De 5 a 8,469
