Fecha;TRM
05/02/2020;3368,87
06/02/2020;3355,44
07/02/2020;3378,43
10/02/2020;3408,35
11/02/2020;3440,96
12/02/2020;3432,89
13/02/2020;3394,8
14/02/2020;3385,11
18/02/2020;3378,29
19/02/2020;3410,24
20/02/2020;3400,98
21/02/2020;3403,5
24/02/2020;3398,05
25/02/2020;3431,6
26/02/2020;3425,22
27/02/2020;3441,88
28/02/2020;3507,11
02/03/2020;3539,86
03/03/2020;3512,17
04/03/2020;3455,56
05/03/2020;3458,45
06/03/2020;3522,41
09/03/2020;3584,58
10/03/2020;3803,6
11/03/2020;3780,39
12/03/2020;3835,15
13/03/2020;4034,66
16/03/2020;3941,92
17/03/2020;4099,93
18/03/2020;4044,55
19/03/2020;4128,38
20/03/2020;4153,91
24/03/2020;4079,96
25/03/2020;4104,9
26/03/2020;4086,34
27/03/2020;3995,83
30/03/2020;4042,8
31/03/2020;4064,81
01/04/2020;4054,54
02/04/2020;4081,06
03/04/2020;4065,5
06/04/2020;4008,78
07/04/2020;3978,38
08/04/2020;3910,15
13/04/2020;3886,79
14/04/2020;3870,31
15/04/2020;3858,21
16/04/2020;3920,83
17/04/2020;3942,92
20/04/2020;3973,06
21/04/2020;3967,76
22/04/2020;4045,01
23/04/2020;4037,95
24/04/2020;4020,94
27/04/2020;4039,87
28/04/2020;4039,83
29/04/2020;4046,04
30/04/2020;3983,29
04/05/2020;3932,72
05/05/2020;3990,1
06/05/2020;3926,07
07/05/2020;3961,66
08/05/2020;3924,54
11/05/2020;3882,27
12/05/2020;3901,34
13/05/2020;3880,48
14/05/2020;3901,3
15/05/2020;3947,79
18/05/2020;3926,06
19/05/2020;3851,07
20/05/2020;3824,3
21/05/2020;3804,12
22/05/2020;3774,25
26/05/2020;3782,66
27/05/2020;3725,56
28/05/2020;3743,79
29/05/2020;3723,42
01/06/2020;3718,82
02/06/2020;3716,35
03/06/2020;3651,42
04/06/2020;3588,89
05/06/2020;3597,47
08/06/2020;3565,06
09/06/2020;3599
10/06/2020;3643,02
11/06/2020;3674,81
12/06/2020;3746,46
16/06/2020;3758,15
17/06/2020;3741,88
18/06/2020;3749,03
19/06/2020;3760,22
23/06/2020;3733,27
24/06/2020;3706,06
25/06/2020;3722,27
26/06/2020;3735,93
30/06/2020;3758,91
01/07/2020;3756,28
02/07/2020;3723,67
03/07/2020;3660,18
06/07/2020;3645,9
07/07/2020;3633,32
08/07/2020;3631,54
09/07/2020;3625,61
10/07/2020;3633,42
13/07/2020;3615,75
14/07/2020;3617,22
15/07/2020;3638,22
16/07/2020;3611,61
17/07/2020;3627,86
21/07/2020;3651,93
22/07/2020;3628,2
23/07/2020;3627,28
24/07/2020;3660,15
27/07/2020;3690,8
28/07/2020;3679,17
29/07/2020;3718,69
30/07/2020;3716,89
31/07/2020;3739,49
03/08/2020;3733,08
04/08/2020;3768,39
05/08/2020;3792,98
06/08/2020;3775,95
10/08/2020;3769,67
11/08/2020;3770,22
12/08/2020;3749,3
13/08/2020;3755,61
14/08/2020;3767,05
18/08/2020;3783,15
19/08/2020;3784,15
20/08/2020;3766,73
21/08/2020;3792,13
24/08/2020;3827,27
25/08/2020;3843,69
26/08/2020;3867,32
27/08/2020;3846,64
28/08/2020;3820,17
31/08/2020;3760,38
01/09/2020;3745,41
02/09/2020;3683,28
03/09/2020;3653,7
04/09/2020;3653,23
08/09/2020;3702,62
09/09/2020;3757,21
10/09/2020;3717,25
11/09/2020;3700,28
14/09/2020;3709
15/09/2020;3697
16/09/2020;3683,49
17/09/2020;3703,86
18/09/2020;3714,65
21/09/2020;3725,37
22/09/2020;3790,54
23/09/2020;3813,3
24/09/2020;3863,6
25/09/2020;3873,8
28/09/2020;3867,81
29/09/2020;3859,9
30/09/2020;3878,94
01/10/2020;3865,47
02/10/2020;3842,34
05/10/2020;3881,8
06/10/2020;3843,75
07/10/2020;3826,77
08/10/2020;3837,79
09/10/2020;3839,73
13/10/2020;3824,25
14/10/2020;3856,32
15/10/2020;3843,59
16/10/2020;3854,47
19/10/2020;3846,48
20/10/2020;3842,76
21/10/2020;3830,79
22/10/2020;3784,51
23/10/2020;3776,73
26/10/2020;3782,66
27/10/2020;3812,82
28/10/2020;3810,23
29/10/2020;3841,46
30/10/2020;3849,53
03/11/2020;3858,56
04/11/2020;3823,45
05/11/2020;3807,13
06/11/2020;3763,82
09/11/2020;3738,19
10/11/2020;3646,15
12/11/2020;3650,5
13/11/2020;3646,22
17/11/2020;3639,95
18/11/2020;3635,19
19/11/2020;3647,73
20/11/2020;3647,1
23/11/2020;3649,9
24/11/2020;3632,92
25/11/2020;3643,24
27/11/2020;3620,39
30/11/2020;3611,44
01/12/2020;3591,84
02/12/2020;3558,57
03/12/2020;3533,21
04/12/2020;3481,44
07/12/2020;3467,49
09/12/2020;3487,65
10/12/2020;3465,76
11/12/2020;3448,89
14/12/2020;3433,45
15/12/2020;3426,97
16/12/2020;3422,44
17/12/2020;3416,21
18/12/2020;3410,82
21/12/2020;3420,26
22/12/2020;3442,41
23/12/2020;3444,9
24/12/2020;3482,51
28/12/2020;3493,77
29/12/2020;3495,39
30/12/2020;3482,1
04/01/2021;3432,5
05/01/2021;3420,78
06/01/2021;3450,74
07/01/2021;3428,04
