CountryID,Country Name,Region,World Rank,Region Rank,2017 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate,Income Tax Rate,Corporate Tax Rate,Tax Burden perc of GDP,Gov't Expenditure perc of GDP ,Population_Millions, GDP Billions PPP ,GDP Growth Rate,GDP per Capita PPP,Unemployment,Inflation Perc,FDI Inflow Millions,Public Debt Perc of GDP
1,Afghanistan,Asia-Pacific,163,40,48.9,12.6,28.4,27.5,91.6,79.9,97.3,54.2,59.9,69.3,66,0,0,7,20,20,6.5,27.1,32,62.3,1.5,1947,9.6,-1.5,58,6.8
2,Albania,Europe,65,30,64.4,54,28.5,39.7,86.9,72.5,51.5,79.3,50.7,81.4,87.7,70,70,1.1,23,15,23.6,30,2.8,32.7,2.6,11301,17.3,1.9,1003.3,71.9
3,Algeria,Middle East / North Africa,172,14,46.5,38.2,29.6,31.7,81.1,51,19.8,62.1,49.5,67,63.3,35,30,8.4,35,23,11.7,44.4,39.5,578.7,3.7,14504,10.5,4.8,-587.3,8.7
4,Angola,Sub-Saharan Africa,165,41,48.5,36.4,19.8,12.8,87.7,58.6,70.7,58.5,40.4,70.6,56.7,30,40,11.7,17,30,6.5,28.9,25.1,184.4,3,7344,7.6,10.3,8680.9,62.3
5,Argentina,Americas,156,26,50.4,32.4,39.6,38.2,62.6,54.6,56.4,57.3,46.1,50.9,66.7,50,50,6.6,35,35,35.9,43.9,42.4,972,1.2,22554,6.7,26.5,11654.9,56.5
6,Armenia,Europe,33,19,70.3,55.5,42.5,43.4,83.7,81.7,82.9,78.5,72.4,72.8,80.2,80,70,2.4,26,20,23.5,26.4,3.3,25.3,3,8468,16.3,3.7,180.5,46.6
7,Australia,Asia-Pacific,5,4,81,81.7,92.9,74.8,63.2,59,84.6,89.3,84.1,86.4,86.2,80,90,1.9,45,30,27.5,37.2,23.9,1138.1,2.5,47389,6.3,1.5,22264.5,36.8
8,Austria,Europe,30,17,72.3,86,81.8,75.2,50.3,19.3,79.7,76.9,67.6,83.4,87,90,70,1.5,50,25,43,51.9,8.6,404.3,0.9,47250,5.7,0.8,3837.4,86.2
9,Azerbaijan,Asia-Pacific,68,15,63.6,50.5,33,37.6,87.7,57.5,97.4,71.5,75,73.6,74.4,55,50,5.3,25,20,14.2,38.5,9.5,169.4,1.1,17993,4.7,4,4047.7,36.1
10,Bahamas,Americas,90,19,61.1,45.3,48.7,38.2,97.1,83.8,42.3,68.5,71.5,77,50.6,50,60,19.7,0,0,16.9,24.2,0.4,9.2,0.5,25167,14.4,1.9,384.9,65.7
11,Bahrain,Middle East / North Africa,44,4,68.5,64.2,53.7,55.5,99.9,69.8,12,69.4,78.7,80.7,82.8,75,80,3.6,0,0,3.8,34.7,1.2,64.8,3.2,50095,1.2,1.8,-1462.8,63.3
12,Bangladesh,Asia-Pacific,128,28,55,34.9,26,19.1,72.8,94,78.7,53.4,68.7,68.6,63.6,50,30,10.7,25,45,8.6,13.8,159.9,576.5,6.4,3607,4.4,6.4,2235.4,34
13,Barbados,Americas,130,24,54.5,55.5,33,34.3,74,39,0,69.6,67.7,83.7,62.2,75,60,13.9,35,25,27.4,44.2,0.3,4.6,0.5,16575,12.3,0.5,254.4,103
14,Belarus,Europe,104,40,58.6,50.9,56.3,37.6,89.8,48.7,92.8,71.3,74.6,60.4,80.6,30,10,2.2,13,18,23,42.6,9.4,167.7,-3.9,17654,6.1,13.5,1583.9,59.9
15,Belgium,Europe,49,25,67.8,83.3,69.3,71.5,44.1,9.6,66.3,82,61.1,84.9,87,85,70,1.5,50,33,44.7,53.9,11.2,494.1,1.4,43585,8.7,0.6,31029.5,106.3
16,Belize,Americas,101,22,58.6,43.5,48.7,35,81.3,68.6,60.5,62.7,53.6,79.6,70.1,50,50,10,25,25,24.8,32.8,0.4,3,1.5,8373,11.8,-0.6,64.6,76.3
17,Benin,Sub-Saharan Africa,96,11,59.2,36,29.4,31.3,68.6,85.9,71.3,51.9,52.4,85.4,68.7,80,50,10.6,45,30,14.8,24.9,10.9,22.9,5.2,2113,1.1,0.3,229.3,37.5
18,Bhutan,Asia-Pacific,107,21,58.4,60.1,50.7,44.7,83.1,73.6,61.7,72.6,77.6,67.1,60,20,30,10,25,30,13,25.1,0.8,6.4,7.7,8201,2.6,7.2,12.1,115.7
19,Bolivia,Americas,168,30,47.7,25.7,15.4,32.6,86.1,49.1,81.4,58.9,35.8,66.4,76,5,40,4.5,13,25,24.4,41.9,11.5,74.4,4.8,6465,3.6,4.1,503.4,39.7
20,Bosnia and Herzegovina,Europe,92,36,60.2,41.2,40,32.7,83.5,33.7,89.3,47.4,59.3,84,86.6,65,60,1.7,10,10,38.1,46.8,3.9,40.5,2.8,10492,30.3,-1,249.5,45.5
21,Botswana,Sub-Saharan Africa,34,2,70.1,58.1,54,57.6,77.1,61.2,99.4,68.8,68.6,77.9,83.8,65,70,0.6,25,22,34.4,39.7,2.1,34.8,-0.3,16368,18.6,3,393.6,17.8
22,Brazil,Americas,140,25,52.9,55,49.7,33.4,70.1,53.1,22.8,61.3,52.3,67,69.4,50,50,7.8,27.5,34,32.8,41.9,204.5,3192.4,-3.8,15615,7.2,9,64647.9,73.7
23,Bulgaria,Europe,47,23,67.9,62.5,38.9,41.8,91,58.4,86.4,66.7,68.3,83.3,87,70,60,1.5,10,10,26.5,38.8,7.2,136.9,3,19097,9.8,-1.1,1773.9,26.9
24,Burkina Faso,Sub-Saharan Africa,93,10,59.6,38.2,28.4,31.7,82.6,82.5,88.4,46.4,53.3,84.6,69.2,70,40,7.9,27.5,27.5,15.2,21.3,17.9,30.9,4,1724,2.9,0.9,167.4,31
25,Burma,Asia-Pacific,146,34,52.5,23,12.9,29.6,86.2,81.5,89.9,50.1,77.1,65.4,74.2,20,20,2.9,20,30,9.2,25.9,51.8,283.5,7,5469,4.7,11.5,2824,32
26,Burundi,Sub-Saharan Africa,139,30,53.2,25.7,19.8,24.6,73.8,69.5,69.6,53.5,67.4,75.2,74.2,55,30,5.4,35,35,12.9,29.9,9.4,7.7,-4.1,819,1.5,5.6,7.4,38.4
27,Cambodia,Asia-Pacific,94,20,59.5,42.4,22.1,12.8,90.2,88.1,95.7,29.6,62,81,80.3,60,50,4.9,20,20,13.4,18.2,15.5,54.2,6.9,3488,0.5,1.2,1701,33.6
28,Cameroon,Sub-Saharan Africa,150,34,51.8,43.5,29.6,17.4,75.4,84.4,60.9,44.3,47.8,80.1,53.4,35,50,15.8,35,33,12.2,23.5,23.1,72.6,5.9,3144,4.6,2.8,620.1,33.5
29,Canada,Americas,7,1,78.5,88.3,80.8,81.6,77.4,52.3,80.3,81.9,73.1,77.8,88.4,80,80,0.8,33,15,30.8,40.3,35.9,1631.9,1.2,45553,6.9,1.1,48642.8,91.5
30,Cabo Verde,Sub-Saharan Africa,116,17,56.9,42.6,50.2,41.8,78.3,70.7,1.2,65.5,43.2,86.7,68.2,75,60,10.9,35,25,18,29.9,0.5,3.4,1.8,6522,10.8,0.1,94.9,119.3
31,Central African Republic,Sub-Saharan Africa,151,35,51.8,12.6,33,28.7,65.8,94.1,84.1,27.2,42.7,68.2,55.2,80,30,14.9,50,30,4.4,14.6,4.8,3,4.3,630,7.6,5.4,3,65
