nom_colegio,p_ingles,p_global,num_est,calendario
ACAD AMERICANA DE SISTEMAS Y COMERCIO,42.0,227.1,10,A
ACAD CENTRAL DE SISTEMAS ACSI,50.285714285714285,255.71428571428572,7,A
ASPAEN GIMNASIO IRAGUA,80.6896551724138,334.7241379310345,29,B
BACHILLERATO DE ADULTOS COLSUBSIDIO,50.2,246.6,25,A
BACHILLERATO DE ADULTOS UNAD,48.806451612903224,236.8842105263158,95,A
C.E. FORMAL PARA ADULTOS LOS SAUCES,40.0,215.0,2,A
CENT DE EDUC DE ADULTOS CULTURAL,40.2972972972973,215.45945945945945,37,A
CENT EDUC PROEDUCAR,43.53658536585366,218.65853658536585,41,A
CENT EDUC Y CULT ESPAÑOL REYES CATOLICOS,77.20689655172414,338.48275862068965,29,B
CENT PANAMERICANO DE CAPACITACION SEDE ESTRADA,47.357142857142854,249.82142857142858,28,A
CENT PANAMERICANO DE CAPACITACION SEDE RESTREPO,37.75,220.0,8,A
CENT SUPERIOR DE ESTUDIOS FINANCIEROS E INFORMATICOS CENPEFI,44.1875,245.625,16,A
CENTRO EDUCATIVO EXTERNADO SIMON BOLIVAR,39.875,209.0,8,A
CENTRO EDUCATIVO SAN PABLO CESP,48.76923076923077,240.92307692307693,13,A
COL  MONTESSORI BRITISH SCHOOL,84.32608695652173,351.7826086956522,46,B
COL ABRAHAM LINCOLN,83.86046511627907,354.9767441860465,86,B
COL ANDINO,81.46808510638297,337.5425531914894,94,B
COL ARCA INTERNACIONAL BILINGÜE,77.6,310.2,5,B
COL BILING BUCKINGHAM,83.25,346.25,24,B
COL BILING CLERMONT,80.96774193548387,341.9032258064516,31,B
COL BRITANICO SEDE KENNEDY,49.83076923076923,247.43076923076924,65,A
COL BRITANICO SEDE TUNJUELITO,48.56521739130435,241.47826086956522,69,A
COL CALATRAVA,85.57142857142857,370.2857142857143,7,B
COL CENT DE INSTRUCCION SISTEMATIZADA CEIS,45.46666666666667,221.93333333333334,15,A
COL CENT DE PROMOCION SAN JOSE,39.35294117647059,199.35294117647058,17,A
COL CHARLES BABBAGGE,46.0,227.875,8,A
COL COLOMBO HEBREO,83.5,327.0,6,B
COL GIMN AMERICANO,51.46875,242.46875,32,A
COL GRAN BRETAÑA,81.14285714285714,309.85714285714283,14,B
COL HEISENBERG SEDE KENNEDY,49.32,243.24,25,A
COL HELVETIA,80.96551724137932,342.37931034482756,29,B
COL INCADE,46.12244897959184,225.12244897959184,49,A
COL ITALIANO LEONARDO DA VINCI,80.72972972972973,342.2567567567568,74,B
COL ITEC,32.0,197.0,1,A
COL LOS NOGALES,88.91666666666667,360.96666666666664,60,B
COL MAYOR PRIMEROS MAESTROS,76.14285714285714,298.42857142857144,7,A
COL NUEVA GRANADA,84.7,312.05,40,B
COL SAN BARTOLOME LA MERCED,81.75247524752476,340.3069306930693,101,B
COL SAN CARLOS,84.4931506849315,361.13698630136986,73,B
COL SAN JORGE DE INGLATERRA,85.71014492753623,351.81159420289856,69,B
COL SAN TARSICIO,78.86363636363636,330.59090909090907,22,B
COL SAN VIATOR,73.0,308.50602409638554,83,B
COL SANTA FRANCISCA ROMANA,84.81428571428572,356.9,70,B
COL TRIANGULO CHAPINERO,42.55,220.4,20,A
COL TRIANGULO KENNEDY,42.40909090909091,223.4318181818182,44,A
COL TRIANGULO PALOQUEMAO,41.666666666666664,216.66666666666666,6,A
COL TRIANGULO PATIO BONITO,46.90909090909091,249.6818181818182,22,A
COL TRIANGULO RESTREPO,43.666666666666664,233.58333333333334,12,A
COLEGIO ALEJANDRO MAGNO,45.375,223.5625,16,A
COLEGIO ANEXO SAN FRANCISCO DE ASIS,61.214285714285715,289.2142857142857,14,B
COLEGIO ANGLO COLOMBIANO,85.46153846153847,325.21794871794873,78,B
COLEGIO BILINGUE RICHMOND,80.2,331.75,40,B
COLEGIO BOSTON (ANTIGUO COL EDUC SAN MATEO),59.0,252.25,4,A
COLEGIO CAPACITACION 2000,44.148148148148145,226.44444444444446,27,A
COLEGIO CENAT,41.8,212.85,20,A
COLEGIO CENCOSISTEMAS,49.8421052631579,245.5,38,A
COLEGIO CENCOSISTEMAS SUBA,43.44444444444444,217.11111111111111,9,OTRO
COLEGIO CENTRO DE ESTUDIOS PRO-PYMES,40.0,217.42857142857142,35,A
COLEGIO CIES,47.0,237.6,5,A
COLEGIO COLOMBO GALES,83.35416666666667,329.7291666666667,48,B
COLEGIO COOPERATIVO MINUTO DE DIOS,48.75,261.5,4,OTRO
COLEGIO DE FORMACION DE CIUDADANOS - COGLOBAL,55.0,254.83333333333334,6,OTRO
COLEGIO DE INGLATERRA (THE ENGLISH SCHOOL),82.61627906976744,320.63953488372096,86,B
COLEGIO FORMARTE,57.578947368421055,259.5263157894737,19,A
COLEGIO INSCAP,46.51428571428571,230.68571428571428,70,A
COLEGIO INSTITUTO SANTIAGO DE COMPOSTELA,49.375,250.375,8,A
COLEGIO INTEGRACION MODERNA,65.0909090909091,281.54545454545456,11,A
COLEGIO INTEGRAL,74.0,302.2857142857143,7,A
COLEGIO INTERNACIONAL DE EDUCACION INTEGRAL - CIEDI,84.60714285714286,340.17857142857144,28,B
COLEGIO KNIGHTSBRIDGE SCHOOLS INTERNATIONAL,79.46153846153847,309.2307692307692,13,B
COLEGIO KUEPA RESTREPO,57.5,265.75,12,A
COLEGIO MODERNO JOHN DEWEY S.A.S.,69.71428571428571,263.7142857142857,7,B
COLEGIO MONTEHELENA,58.75555555555555,279.8222222222222,45,OTRO
COLEGIO MONTERROSALES,69.55555555555556,292.0740740740741,27,OTRO
COLEGIO RETOS,68.72093023255815,284.4347826086956,46,A
COLEGIO SAN MATEO APOSTOL BILINGÜE INTERNACIONAL,82.22388059701493,347.8059701492537,67,B
COLEGIO SANTA MARIA,81.16438356164383,332.8904109589041,73,B
COLEGIO VICTORIA,81.52,323.6,25,B
COLEGIO VIRTUAL SIGLO XXI,65.61111111111111,296.8333333333333,18,A
CORPORACION EDUCATIVA SAN AGUSTIN - CESA,54.0,303.0,1,OTRO
