CODIGO_RNT,ESTADO_RNT,RAZON_SOCIAL_ESTABLECIMIENTO
645,ACTIVO,GUAJIRA TOURS. AGENCIA DE VIAJES Y TURISMO
2002,ACTIVO,CENTRO DE CONVENCIONES ANAS MAI
2289,ACTIVO,HOTEL ALMIRANTE PADILLA RIOHACHA
2599,ACTIVO,HOTEL JESSICA
4017,ACTIVO,HOTEL MAJAYURA
4362,ACTIVO,HOTEL LAS DOS PALMAS
4500,ACTIVO,HOTEL GIMAURA
5360,ACTIVO,ROJAS TRAVELS
6931,ACTIVO,HOTEL ARENAS
7641,ACTIVO,HOTEL RIOHACHA INTERNACIONAL
7874,ACTIVO,AVIATUR RIOHACHA
8852,ACTIVO,HOTEL ARIMACA
9258,ACTIVO,AGENCIA OPERADORA DE TURISMO
9347,ACTIVO,SOL-ERA VIAJES Y TURISMO E.A.T.
10066,ACTIVO,RESIDENCIAS AREMASAIN
10134,ACTIVO,HOTEL JEPIRACHI
10139,ACTIVO,HOTEL MI CASSONA
10667,ACTIVO,LUNA TOURS
10736,ACTIVO,KAI ECOTRAVEL OPERADOR COMUNITARIO DE TURISMO
11418,ACTIVO,TOURS RAMIRO VANEGAS OPERADORA
11601,ACTIVO,HOTEL LAS COLONIAS
11804,ACTIVO,HOTEL CONFORT DE LA GUAJIRA
14942,ACTIVO,HOTEL PLAZA ROMA
17575,ACTIVO,HOTEL JIMATTA
17596,ACTIVO,BARBACOA HOTEL
18602,ACTIVO,HOTEL BIBI
20339,ACTIVO,WAYUU TOURS
23079,ACTIVO,AEROVIAS DEL CONTINENTE AMERICANO S.A AVIANCA. OF. AERO
23232,ACTIVO,HOTEL RIOHACHA
23244,ACTIVO,CASA FINCA VILLA ELINA
23283,ACTIVO,CASA BLANCA HOTEL
25881,ACTIVO,JW RIBAI HOTELS
26775,ACTIVO,MACUIRA TOURS S.A.S.
26776,ACTIVO,HOTEL Y ESTADERO TROPICAL
27357,ACTIVO,HOTEL KAYUUSI
